EmployeeNumber,Attrition,Department,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
292,No,Research & Development,1,1,1,3,2,3,Manufacturing Director,3,1,No,22,4,3,80,0,12,2,3
293,No,Research & Development,20,3,1,4,3,2,Sales Executive,3,1,No,14,3,4,80,0,7,2,3
296,No,Research & Development,8,4,1,2,2,3,Research Director,2,5,No,16,3,4,80,2,16,5,1
297,Yes,Research & Development,3,3,1,4,3,1,Research Scientist,1,5,Yes,11,3,3,80,0,8,5,3
298,No,Research & Development,6,3,1,4,3,3,Manager,4,3,Yes,18,3,3,80,0,16,3,3
299,Yes,Research & Development,26,4,1,3,2,2,Sales Executive,1,5,No,15,3,3,80,0,9,5,2
300,Yes,Research & Development,1,3,1,3,3,1,Research Scientist,3,0,No,14,3,4,80,0,7,1,2
302,No,Research & Development,6,3,1,4,2,3,Sales Executive,4,6,No,12,3,4,80,0,23,2,3
303,No,Research & Development,3,3,1,4,3,2,Sales Executive,1,2,No,14,3,4,80,1,16,4,3
304,No,Research & Development,5,2,1,4,3,2,Laboratory Technician,2,8,No,16,3,4,80,0,16,3,4
305,No,Research & Development,4,4,1,3,2,1,Research Scientist,2,6,No,21,4,4,80,0,7,3,3
306,No,Research & Development,11,3,1,2,3,3,Research Director,4,1,Yes,14,3,3,80,3,10,1,3
307,No,Research & Development,3,3,1,1,3,3,Sales Executive,3,0,No,12,3,3,80,2,17,6,2
308,No,Research & Development,1,4,1,3,1,2,Manufacturing Director,3,0,No,12,3,4,80,1,6,2,3
309,No,Research & Development,3,3,1,3,2,1,Research Scientist,4,3,No,17,3,1,80,1,7,6,3
311,No,Research & Development,4,4,1,1,3,1,Sales Representative,4,4,No,17,3,3,80,1,13,2,3
312,No,Research & Development,1,1,1,2,3,3,Sales Executive,4,1,No,14,3,4,80,1,11,5,3
314,No,Research & Development,1,3,1,3,3,3,Sales Executive,3,1,No,14,3,1,80,0,10,3,4
315,Yes,Research & Development,18,1,1,3,2,1,Research Scientist,4,1,Yes,13,3,3,80,0,4,3,2
316,No,Research & Development,2,3,1,3,2,1,Laboratory Technician,4,7,No,15,3,2,80,0,6,3,2
319,No,Research & Development,4,2,1,3,3,5,Manager,4,1,No,11,3,4,80,0,22,3,3
321,No,Research & Development,6,2,1,2,3,1,Human Resources,3,8,No,17,3,4,80,0,7,2,2
323,No,Research & Development,1,4,1,4,3,5,Manager,4,3,No,11,3,3,80,1,32,3,2
325,Yes,Research & Development,14,3,1,3,3,1,Laboratory Technician,4,5,Yes,13,3,3,80,1,8,2,1
327,No,Research & Development,16,3,1,4,3,4,Manager,4,5,Yes,22,4,3,80,1,22,3,3
328,Yes,Research & Development,2,2,1,1,3,1,Laboratory Technician,1,7,No,20,4,1,80,0,13,3,4
329,No,Research & Development,2,4,1,1,2,5,Manager,3,1,Yes,18,3,4,80,0,33,2,4
330,No,Research & Development,4,2,1,3,3,1,Sales Representative,2,2,No,11,3,1,80,1,6,5,3
331,Yes,Research & Development,1,3,1,4,2,1,Laboratory Technician,3,0,Yes,14,3,4,80,0,4,2,1
332,No,Research & Development,1,4,1,3,3,1,Laboratory Technician,3,7,No,14,3,3,80,3,7,1,3
333,No,Research & Development,26,4,1,3,3,2,Sales Executive,4,0,No,18,3,1,80,0,4,2,3
334,No,Research & Development,19,2,1,3,3,2,Research Scientist,1,2,No,16,3,1,80,2,17,2,2
335,No,Research & Development,24,2,1,1,3,2,Research Scientist,4,1,No,17,3,1,80,2,9,3,3
336,No,Research & Development,1,3,1,3,4,5,Manager,4,0,No,11,3,3,80,1,25,2,3
337,No,Research & Development,3,4,1,2,3,3,Research Director,3,9,No,12,3,1,80,1,9,3,3
338,No,Research & Development,5,4,1,3,2,1,Research Scientist,4,1,No,13,3,3,80,1,2,2,2
339,No,Research & Development,2,4,1,4,2,2,Manufacturing Director,1,6,No,13,3,2,80,1,13,3,3
340,No,Research & Development,1,2,1,3,2,1,Research Scientist,1,2,No,14,3,1,80,1,17,2,2
341,No,Research & Development,7,4,1,1,4,2,Manufacturing Director,3,4,No,17,3,4,80,1,9,1,3
342,Yes,Research & Development,10,3,1,1,3,3,Manufacturing Director,3,6,No,11,3,2,80,2,17,5,3
343,No,Research & Development,2,4,1,3,3,3,Healthcare Representative,3,0,No,25,4,4,80,0,20,1,3
346,No,Research & Development,15,3,1,3,3,1,Research Scientist,4,1,No,19,3,1,80,0,6,1,3
347,No,Research & Development,17,2,1,4,4,2,Research Scientist,1,3,Yes,13,3,3,80,0,10,1,3
349,No,Research & Development,20,2,1,4,3,2,Sales Executive,4,2,No,14,3,4,80,1,10,2,3
350,No,Research & Development,1,3,1,1,3,2,Manufacturing Director,3,0,No,12,3,4,80,2,5,3,3
351,No,Research & Development,2,3,1,4,2,1,Laboratory Technician,1,0,Yes,11,3,3,80,1,10,4,3
352,No,Research & Development,2,2,1,1,3,5,Research Director,3,0,No,19,3,4,80,1,22,5,3
353,No,Research & Development,1,3,1,3,3,1,Research Scientist,4,1,No,11,3,2,80,0,1,0,2
355,Yes,Research & Development,29,2,1,3,2,1,Laboratory Technician,2,0,No,11,3,2,80,0,6,2,4
359,No,Research & Development,7,3,1,2,4,1,Laboratory Technician,2,1,No,20,4,3,80,0,5,3,1
361,No,Research & Development,2,2,1,4,2,2,Sales Executive,4,3,No,18,3,4,80,1,13,0,3
362,No,Research & Development,2,1,1,4,2,2,Laboratory Technician,1,4,No,13,3,4,80,0,9,5,3
363,No,Research & Development,2,3,1,3,1,4,Manager,2,3,Yes,12,3,2,80,1,28,2,2
364,Yes,Research & Development,2,4,1,1,3,1,Laboratory Technician,3,2,No,11,3,3,80,0,5,5,1
366,No,Research & Development,2,3,1,1,2,2,Sales Executive,2,2,No,19,3,2,80,2,10,2,3
367,No,Research & Development,23,3,1,2,2,2,Healthcare Representative,4,0,No,21,4,2,80,1,10,2,3
369,No,Research & Development,5,2,1,2,4,2,Healthcare Representative,1,1,No,12,3,4,80,2,6,2,3
372,No,Research & Development,20,2,1,3,3,4,Healthcare Representative,4,0,Yes,14,3,2,80,0,21,2,3
373,No,Research & Development,6,3,1,4,3,1,Laboratory Technician,4,0,No,11,3,3,80,1,16,4,3
374,No,Research & Development,1,3,1,4,3,5,Manager,1,0,Yes,14,3,3,80,0,37,2,3
376,Yes,Research & Development,29,4,1,1,3,3,Manager,2,1,Yes,12,3,4,80,1,10,2,2
377,No,Research & Development,9,3,1,4,3,1,Research Scientist,4,1,No,23,4,4,80,1,5,3,2
378,No,Research & Development,6,4,1,3,3,2,Sales Executive,4,4,No,14,3,2,80,1,7,5,4
379,No,Research & Development,3,2,1,4,2,1,Research Scientist,3,1,No,17,3,1,80,0,3,4,4
380,No,Research & Development,1,4,1,1,3,3,Research Director,4,2,Yes,18,3,1,80,2,15,2,3
381,No,Research & Development,22,3,1,2,4,3,Manager,2,7,No,18,3,2,80,1,10,6,2
382,No,Research & Development,7,2,1,1,4,2,Sales Executive,1,1,Yes,24,4,3,80,1,8,3,3
384,No,Research & Development,1,3,1,3,3,2,Manufacturing Director,2,1,No,20,4,1,80,1,6,6,1
385,No,Research & Development,4,1,1,1,3,5,Research Director,2,3,No,14,3,1,80,2,28,4,2
386,No,Research & Development,3,4,1,3,3,4,Research Director,3,3,Yes,16,3,4,80,3,21,5,2
387,No,Research & Development,1,1,1,2,3,2,Sales Executive,3,1,No,25,4,3,80,0,20,3,3
388,No,Research & Development,2,2,1,2,3,2,Sales Executive,4,1,No,18,3,1,80,0,10,3,2
389,No,Research & Development,20,2,1,2,3,2,Laboratory Technician,4,3,Yes,19,3,4,80,1,12,4,3
390,No,Research & Development,11,2,1,1,3,2,Healthcare Representative,1,1,Yes,13,3,3,80,1,5,3,3
391,No,Research & Development,1,3,1,4,3,1,Research Scientist,4,1,No,12,3,2,80,0,17,3,3
392,Yes,Research & Development,24,3,1,4,3,1,Laboratory Technician,3,3,Yes,22,4,4,80,1,19,0,1
393,No,Research & Development,23,4,1,4,3,2,Healthcare Representative,4,9,No,14,3,2,80,1,10,2,3
394,Yes,Research & Development,16,4,1,1,3,1,Laboratory Technician,2,2,Yes,13,3,4,80,1,5,2,3
395,No,Research & Development,8,2,1,4,3,1,Research Scientist,4,1,No,21,4,4,80,0,5,3,3
396,No,Research & Development,10,4,1,3,3,5,Research Director,1,9,Yes,11,3,4,80,0,22,4,3
397,No,Research & Development,3,3,1,3,3,2,Research Scientist,2,4,No,12,3,4,80,0,10,2,3
399,No,Research & Development,5,3,1,4,3,1,Sales Representative,2,1,No,11,3,3,80,1,2,5,2
401,Yes,Research & Development,4,4,1,4,2,2,Sales Executive,4,1,Yes,12,3,2,80,0,8,0,3
403,No,Research & Development,9,3,1,2,3,1,Research Scientist,4,1,Yes,12,3,3,80,3,4,3,2
404,No,Research & Development,26,3,1,3,3,4,Sales Executive,2,5,No,14,3,4,80,1,23,2,4
405,Yes,Research & Development,3,3,1,3,3,1,Laboratory Technician,3,1,No,13,3,3,80,0,0,2,3
406,No,Research & Development,16,3,1,3,3,3,Sales Executive,2,0,No,15,3,3,80,2,12,3,2
407,No,Research & Development,18,4,1,3,4,1,Laboratory Technician,4,4,No,18,3,4,80,2,4,2,3
408,No,Research & Development,2,3,1,4,1,2,Manufacturing Director,2,5,No,18,3,4,80,1,13,3,3
410,No,Research & Development,2,4,1,4,3,4,Manager,2,1,No,19,3,2,80,0,22,2,3
411,No,Research & Development,10,3,1,4,2,1,Sales Representative,3,1,No,12,3,1,80,0,0,2,3
412,No,Research & Development,16,2,1,2,4,2,Healthcare Representative,1,0,No,19,3,3,80,0,9,2,3
416,No,Research & Development,7,3,1,2,4,2,Sales Executive,4,4,No,11,3,2,80,1,10,3,2
417,No,Research & Development,1,3,1,3,4,3,Healthcare Representative,4,0,No,17,3,1,80,3,19,5,2
419,No,Research & Development,24,4,1,2,3,2,Laboratory Technician,2,7,No,15,3,3,80,1,11,3,3
420,No,Research & Development,7,3,1,4,2,2,Sales Executive,3,1,No,14,3,3,80,1,13,3,2
421,No,Research & Development,25,2,1,1,2,3,Research Director,2,3,No,17,3,3,80,1,19,2,3
422,No,Research & Development,1,4,1,4,1,2,Healthcare Representative,3,2,Yes,13,3,4,80,1,12,2,3
423,No,Research & Development,5,4,1,3,3,1,Research Scientist,4,0,Yes,12,3,3,80,1,6,4,3
424,No,Research & Development,2,3,1,1,2,2,Human Resources,1,3,No,12,3,4,80,0,9,1,3
425,No,Research & Development,7,3,1,1,3,3,Laboratory Technician,1,1,No,18,3,1,80,1,24,2,3
426,No,Research & Development,2,4,1,3,3,1,Research Scientist,4,0,Yes,18,3,2,80,1,3,2,1
428,No,Research & Development,5,4,1,4,3,3,Manager,2,6,No,11,3,2,80,2,12,2,3
429,No,Research & Development,10,1,1,3,3,4,Manager,1,1,Yes,14,3,4,80,0,21,3,3
430,No,Research & Development,10,4,1,3,3,1,Laboratory Technician,4,0,No,19,3,1,80,0,9,5,3
431,No,Research & Development,1,2,1,3,2,4,Healthcare Representative,3,7,Yes,12,3,4,80,0,25,2,3
433,Yes,Research & Development,8,4,1,3,2,2,Research Scientist,2,2,No,15,3,1,80,0,11,3,2
434,No,Research & Development,5,3,1,3,3,1,Research Scientist,2,1,Yes,12,3,2,80,0,4,2,2
436,No,Research & Development,8,2,1,3,2,2,Sales Executive,2,1,Yes,11,3,4,80,0,13,2,3
437,No,Research & Development,2,3,1,4,3,2,Sales Executive,3,1,Yes,11,3,1,80,0,5,3,3
438,No,Research & Development,7,3,1,4,3,2,Sales Executive,4,4,No,12,3,4,80,3,13,3,3
439,No,Research & Development,2,4,1,1,4,2,Research Scientist,4,7,No,16,3,3,80,0,10,0,2
440,Yes,Research & Development,2,4,1,1,1,1,Research Scientist,4,5,Yes,13,3,4,80,0,5,4,2
441,No,Research & Development,28,2,1,4,3,2,Research Scientist,4,1,No,13,3,4,80,2,11,2,3
